"","Sourced","Placed","References","Value","Footprint","Quantity","Link"
1,"","","C5, C6, C7, C8, C10, C11, C19","100nF","C_0805_2012Metric",7,https://lampatronics.com/product/smd-multilayer-ceramic-capacitor-0805-2012-104-100nf-50v-1pcs-2
2,"","","C1, C2, C12","22uF","C_0805_2012Metric",3,https://lampatronics.com/product/smd-multilayer-ceramic-capacitor-0805-22uf-6-3v-1pcs
3,"","","C3, C4, C9","10uF","C_0805_2012Metric",3,https://lampatronics.com/product/smd-multilayer-ceramic-capacitor-0805-10610uf-16v-1pcs
4,"","","C15, C17","22pF","C_0805_2012Metric",2,https://lampatronics.com/product/smd-multilayer-ceramic-capacitor-0805-2012-104-100nf-50v-1pcs
5,"","","R4, R6, R7, R15, R18, R20, R21, R23, R24, R25, R26, R27, R28, R30","1K","R_0805_2012Metric",14,https://lampatronics.com/product/smd-resistor-1kohm-102-0805-10pcs
6,"","","R1, R19","100R","R_0805_2012Metric",2,https://lampatronics.com/product/smd-resistor-100ohm-101-0805-10pcs
7,"","","R9, R12","10K","R_0805_2012Metric",2,https://lampatronics.com/product/smd-resistor-10kohm-103-0805-10pcs
8,"","","R10, R11","4.7K","R_0805_2012Metric",2,https://lampatronics.com/product/smd-resistor-4-7kohm-472-0805-10pcs
9,"","","R13, R14","220R","R_0805_2012Metric",2,https://lampatronics.com/product/smd-resistor-220ohm-221-0805-10pcs
10,"","","R2","110K","R_0805_2012Metric",1,https://makerselectronics.com/product/chip-resistor-smd-110k%cf%89-%c2%b11-0-125w-%c2%b1100ppm-%e2%84%83-0805/
11,"","","R3","15K","R_0805_2012Metric",1,https://makerselectronics.com/product/chip-resistor-smd-15k%CF%89-%C2%B11-0-125w-%C2%B1100ppm-%E2%84%83-0805/
12,"","","R5","0R","R_0805_2012Metric",1,https://makerselectronics.com/product/chip-resistor-smd-0%CF%89-%C2%B11-0-125w-0805/
13,"","","R8","1.2-1.5K","R_0805_2012Metric",1,https://lampatronics.com/product/smd-resistor-1-2kohm-122-0805-10pcs
14,"","","R16","68K","R_0805_2012Metric",1,https://makerselectronics.com/product/chip-resistor-smd-68k%CF%89-%C2%B11-0-125w-%C2%B1100ppm-%E2%84%83-0805/
